Land / Insel;Datum;Tage;Abflughafen;Airline;Hotel;Ort;Sterne;Verpflegung;Zimmer;Zimmertyp;Beschreibung;Preis p.P.;Link;Eintragsdatum;Anmerkung;Bild;Präposition_Land;Entfernung_Info;Zusatzinfo;Präpositon_Zimmer;Reiseportal;Präposition_Verpflegung;Speicher
Malediven;29.07. - 06.08.;8;Frankfurt;Qatar Airways;Summer Island Maldives;Kaafu;4;Halbpension-Verpflegung;Garden Room;Doppelzimmer;Verbringt jetzt mit diesem Deal einen unvergesslichen Traumurlaub auf den Malediven 2021! Ihr kommt im 4 Sterne Hotel Summer Island Maldives unter, das sich auf dem Nord-Malé-Atoll befindet und direkt am Strand liegt. Da ihr während eures Urlaubs auf den Malediven eine Halbpension Verpflegung genießt, könnt ihr schlemmen, was das Zeug hält. Ich habe mir sagen lassen, dass das Essen im Summer Island Maldives super sein soll. In unmittelbarer Umgebung findet ihr auch das Außenriff und die Tauchbasis Diverland mit erfahrenen Mitarbeitern, die euch ein abwechslungsreiches Tauch- und Schnorchelprogramm bieten. Wenn ihr euch dieses tolle Angebot sichert, bekommt ihr den Urlaub auf den Malediven mit den Zug zum Flug Tickets, den Transfers und den Flügen. Viel Spaß im Paradies!;1345,28;https://www.weg.de/hotel/summer-island-maldives-cid_6162?city=87170&country=MV&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&page=1_10&region=1151&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-asad-photo-maldives-1430677.png;auf den;Das Hotel befindet sich auf dem Nord-Malé-Atoll und liegt direkt am Strand.;Das Außenriff und die Tauchbasis Diverland befinden sich in unmittelbarer Umgebung des Hotels. Die erfahrenen Mitarbeiter/innen bieten Ihnen ein abwechslungsreiches Tauch- und Schnorchelprogramm.;der;weg.de;die;malediven
Griechenland;09.07. - 16.07.;7;Frankfurt;Lufthansa;Atrium;Pefkochori;4;All-Inclusive-Verpflegung ;Doppelzimmer Superior;Doppelzimmer;Zieht es euch nach Griechenland? Wie wäre es mit Urlaub in Chalkidiki und einer tollen All Inclusive Verpflegung? Ich habe hier einen top Deal für kleines Geld für euch! Sichert euch eine Woche im 4 Sterne Hotel Atrium mit All Inclusive, Transfer, Zug zum Flug und Flügen. Das Hotel liegt in grüner, erhöhter Hanglage am Rande des Dorfes Pefkochori direkt am Pinienwald und ist umgeben von Olivenbäumen. Ihr genießt hier eine herrliche Aussicht über den Golf von Kassandra. Während eures Aufenthalts wohnt ihr in einem schönen Doppelzimmer, hier werdet ihr euch mit Sicherheit auf Anhieb wohlfühlen. Zum Ortszentrum sind es ca. 500 Meter, den Kies-/Sandstrand erreicht ihr nach ca. 700 Metern. Dreimal täglich fährt ein hoteleigener Shuttlebus zum Strand. Genießt die schöne Zeit in der Sonne und lasst euch die Bräune ins Gesicht treiben. Viel Spaß!;782;https://www.weg.de/hotel/hotel-atrium-cid_4824/angebot_2F2B9L3V6OOL6ZSFOG8WMTXLR3D82UA663C4U4NXN1FO6JP3W22JXUOFPGE6FMVLUDSUP1622BVSAL?city=2094&country=GR&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&page=2_10&region=31&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-james-owen-4219367.png;in;Das Hotel liegt in grüner, erhöhter Hanglage am Rande des Dorfes Pefkochori und direkt am Pinienwald. Zusätzlich ist es umgeben von Olivenbäumen.  Die Entfernung zum Ortszentrum beträgt ca. 500 Meter, der Kies-/Sandstrand ist ca. 700 Meter entfernt.;Dreimal täglich fährt ein hoteleigener Shuttlebus zum Strand.;das;weg.de;die;griechenland
Vereinigten Arabischen Emiraten;29.06. - 06.07.;7;Frankfurt;Emirates;Park Regis Kris Kin;Bur Dubai;5;Frühstück;Doppelzimmer Superior;Doppelzimmer;Ihr habt Lust auf einen richtigen Luxusdeal im kommenden Jahr? Reist nach Dubai und verbringt dort eine tolle Woche im 5 Sterne Hotel Park Regis Kris Kin mit Frühstück, Transfer und Direktflügen. Dieses spektakuläre Luxushotel wird euch garantiert gefallen. Highlight der Anlage ist der Dachterrassenpool, von dem aus ihr beim Schwimmen eine einzigartige Aussicht über ganz Dubai genießen könnt. So ein Pool ist sogar im prunkvollen Dubai etwas ganz Besonderes! Lasst eure ereignisreichen Tage im Wellnessbereich ausklingen oder powert euch im Fitnesscenter des Hotels so richtig aus. Es warten Whirlpool, Dampfbad und eine Sauna auf euch. Für ein leckeres Abendessen stehen euch insgesamt fünf unterschiedliche Restaurants, von asiatisch bis zur Sportsbar, zur Auswahl. In diesem Luxushotel werdet ihr garantiert eine tolle Zeit haben. Ich wünsche euch viel Spaß!;637,99;https://www.weg.de/hotel/park-regis-kris-kin-hotel-cid_16028/angebot_2WY8KLAE3SRKWNYB6UECA6F4M94J6TOBBZG268YZ368OS6BA7NH3R7264B4E7BMB2GEWFOS6N1DZHZ6RJS1K8VHDZ618TL3987V41YHSWBZ3GC8DBDYEJFG79OAXZLCN6U3H9G2VNHB6ZHHA?city=968&country=AE&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&region=160&returnFlightTimeUntil=1440&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-aleksandar-pasaric-325193.png;in den;Das Hotel ist zentral gelegen - direkt gegenüber der Burjuman Mall, sodass Sie nach ca. 20 Gehminuten das Bastakia-Viertel und das Dubai Museum erreichen können.;Das Highlight der Anlage ist der Dachterrassenpool, der beim Schwimmen eine einzigartige Aussicht über ganz Dubai bietet. Ein solcher Pool ist sogar im prunkvollen Dubai etwas ganz Besonderes! ;das;weg.de;das;vereinigte_arabische_emirate
Fuerteventura;22.07. - 29.07.;7;Frankfurt;Holiday Europe;LABRANDA Bahia de Lobos;Corralejo;4;All-Inclusive-Verpflegung ;Doppelzimmer Deluxe Poolseite;Doppelzimmer;Sichert euch diesen tollen Deal und verbringt 1 Woche auf Fuerteventura im top 4 Sterne LABRANDA Bahia de Lobos mit der täglichen All Inclusive Verpflegung, Transfers und Flügen. Das Hotel befindet sich circa 800 Meter vom Strand entfernt. Der Hafen von Corralejo ist circa zwei Kilometer entfernt, von wo aus unter anderem Fähren nach Lanzarote ablegen. Neben der schönen Lage bietet das familienfreundliche Hotel zwei Pools, zwei Bars und zwei Buffetrestaurants, prinzipiell alles was das Herz begehrt. Während eures Aufenthalts wohnt ihr in einem komfortablen Deluxe Zimmer, hier werdet ihr euch sicherlich sehr wohlfühlen. Genießt schöne und erholsame Tage auf Fuerteventura!;894;https://www.weg.de/hotel/labranda-bahia-de-lobos-cid_3371/angebot_2KGY6EDM4V8EWOOBO11E88C2T92G3VE369JJUZ2AW8VHAD2SCHD4TD7PRADUSCP9WCD3N1A7ACF64OWBWDVKWBEJ81MRVYAPPFDHRJP87HGDEVRC1NLYWZM8OJDZW17X2M871CVXJ3TWCKEJ?city=663&country=ES&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=5&region=127&returnFlightTimeUntil=1440&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-mael-balland-1791684.png;auf;Das Hotel befindet sich circa 800 Meter vom Strand entfernt. Die Distanz vom Hotel zum Hafen von Corralejo beträgt ca. 2km. Aus dem Hafen Corralejo legen unter anderem auch Fähren nach Lanzarote ab.;Neben der schönen Lage bietet das familienfreundliche Hotel zwei Pools, zwei Bars und zwei Buffetrestaurants, also prinzipiell alles, was das Herz begehrt. ;das;weg.de;die;fuerteventura
Kos;08.06. - 15.06.;7;Frankfurt;Condor;LABRANDA Marine Aquapark Resort;Tigaki;4;All-Inclusive-Verpflegung ;Doppelzimmer mit seitl. Meerblick;Doppelzimmer;"Sichert euch eine Woche All Inclusive Urlaub auf der griechischen Insel Kos – zum krassen Preis!

Ich habe für euch diesen tollen Deal entdeckt, der euch im Frühling 2021 für eine Woche nach Kos führt. Es geht für euch ins top 4 Sterne Hotel LABRANDA Marine Aquapark Resort mit All Inclusive, den Transfers und den Flügen. Das Hotel befindet sich direkt am wundervollen Strand. Die Anlage selbst ist sehr gepflegt und bietet euch vier Pools, drei Restaurants und Bars. Dank der leckeren All Inclusive Verpflegung könnt ihr euch hier den ganzen Tag lang kulinarisch verwöhnen lassen. Ich wünsche euch viel Spaß in eurem Urlaub auf Kos!";658;https://www.weg.de/hotel/labranda-marine-aquapark-resort-cid_12773?city=189&country=GR&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=5&oceanView=true&page=1_10&region=45&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-antone-adi-2611070.png;auf;Das Hotel befindet sich direkt am wundervollen Strand. Die Anlage selbst ist sehr gepflegt und bietet Ihnen vier Pools, drei Restaurants und Bars. ;Dank der leckeren All-Inclusive-Verpflegung  können Sie sich hier den ganzen Tag lang kulinarisch verwöhnen lassen.;das;weg.de;die;kos
Lanzarote;25.07. - 01.08.;7;Frankfurt;Ryanair;Riu Paraiso Lanzarote;Las Palmas;4;All-Inclusive-Verpflegung ;Doppelzimmer;Doppelzimmer;Lust auf einen tollen Urlaub auf Lanzarote? Ich habe hier einen super Deal für euch. Es geht für eine Woche ins top bewertete 4 Sterne Clubhotel RIU Paraiso Lanzarote Resort mit einer All Inclusive Verpflegung, den Transfers vor Ort und den Flügen. Euer Hotel liegt direkt am schönen Strand Playa de los Pocillos. Euer Hotel bietet euch vier Pools, vier Bars und drei Restaurants. Das Ortszentrum mit zahlreichen Einkaufsmöglichkeiten erreicht ihr nach nur wenigen Gehminuten und auch das Zentrum von Puerto del Carmen ist nur zwei Kilometer entfernt. ;818,9;https://www.weg.de/hotel/hotel-riu-paraiso-lanzarote-cid_16672?city=740&country=ES&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=5&page=1_10&region=132&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-juliana-chyzhova-2648989.png;auf;Ihr Hotel liegt unmittelbar am überwältigenden Strand Playa de los Pocillos. Das Ortszentrum mit zahlreichen Einkaufsmöglichkeiten können Sie nach nur wenigen Gehminuten erreichen und auch das Zentrum von Puerto del Carmen ist nur zwei Kilometer entfernt.  ;Ihr Hotel bietet Ihnen vier Pools, vier Bars und drei Restaurants. ;das;weg.de;die;lanzarote
Madeira;21.06. - 28.06;7;Frankfurt;Condor;Monte Mar Palace;Ponta Delgada;4;All-Inclusive-Verpflegung ;Doppelzimmer mit Meerblick;Doppelzimmer;"Ihr möchtet euch im Januar einen Urlaub auf der Blumeninsel Madeira sichern?

Bucht jetzt eine Woche auf Madeira im 4 Sterne Hotel Monte Mar Palace inklusive All Inclusive, der Flüge, der Zugtickets zum Flug, einem Zimmer mit Bergblick und den Transfers zum top Preis. Euer Hotel liegt am Rande der beschaulichen Ortschaft Ponta Delgada, direkt oberhalb des Meeres und beschert euch einen wunderschönen Panoramablick über die Nordküste. Bis zu den natürlichen Meeresschwimmbecken aus Lavagestein sind es circa 15 Kilometer und bis nach Funchal circa 40 Kilometer. Lust bekommen? Ich wünsche euch viel Spaß!";728,53;https://www.weg.de/hotel/monte-mar-palace-cid_16283?city=1717&country=PT&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=5&oceanView=true&page=1_10&region=112&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-hristo-ivanov-4084782.png;auf;Ihr Hotel liegt am Rande der beschaulichen Ortschaft Ponta Delgada, direkt oberhalb des Meeres und beschert Ihnen einen wunderschönen Panoramablick über die Nordküste. ;Bis zu den natürlichen Meeresschwimmbecken aus Lavagestein sind es circa 15 Kilometer und bis nach Funchal sind es circa 40 Kilometer. ;das;weg.de;die;madeira
Thailand;02.08. - 17.08;15;Frankfurt;Qatar Airways;The Waters Khao Lak;Khao Lak;4;Frühstück;Doppelzimmer mit Pool Access;Doppelzimmer;"WOW – Da kam gerade dieser MEGA-Urlaubsdeal im Wasser-Resort angeflogen. Perfekt für euren Traumurlaub 2021!

Ihr solltet euch unbedingt die Bilder anschauen! Das zentrale Thema eurer Unterkunft ist Wasser, was sich in vielen Aspekten des Hotels widerspiegelt. 3.000 Quadratmeter Poolfläche sprechen da für sich! Die weitläufige Poolanlage und auch der hoteleigene Wellnessbereich sind durch und durch von Wasser geprägt. Auch architektonisch ist euer Hotel modern und luxuriös gestaltet.

Gelegen an der thailändischen Westküste und auch nur acht Minuten fußläufig vom Palmenstrand und von zahlreichen Einkaufs- und Unterhaltungsangeboten entfernt, ist dieses Resort der perfekte Ort, um einfach mal komplett abzuschalten! Ihr verbringt zwei Wochen im 4 Sterne Hotel The Waters Khao Lak by Katathani inklusive Frühstück, den Zug zum Flug Tickets, den Transfers vor Ort und Flügen! Lust bekommen? Dann sichert euch euren Traumurlaub 2021! Viel Spaß!";1324;https://www.weg.de/hotel/the-waters-khao-lak-cid_17504/angebot_2OYP3KJT2ZYHJZS2VE1SGTGEOTRMUPNTWF9R6XVERR7XG1MY82RG1L7MAN1YO2U8O1BUUEKD33L163?city=7555&country=TH&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=14&from=2021-06-21&mealType=2&page=2_10&region=934&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-iconcom-733092.png;in;Gelegen an der thailändischen Westküste, sind der Palmenstrand und zahlreiche Einkaufs- und Unterhaltungsmöglichkeiten nach 8 Gehminuten zu erreichen.;Das zentrale Thema des luxuriösen, modernen Hotels ist Wasser, was sich z.B. in der weitläufigen Poolanlage und dem hoteleigenen Wellnessbereich widerspiegelt. 3.000 Quadratmeter Poolfläche sprechen da für sich! ;das;weg.de;das;thailand
Österreich;24.06. - 26.06.;2;Frankfurt;Lufthansa;Grand Hotel Zell Am See;Zell am See;4;Frühstück;Doppelzimmer Komfort;Doppelzimmer;;530,18;https://www.weg.de/hotel/grand-hotel-zell-am-see-cid_3625/angebot_2TL76GOWZW41SJDUVEHJPLECSWYAMD7JAEWLFAKJAEOV84K4YHPR8B8O7KBZX6GZR2K9DXZH22CGHUZB2G8B97V6MR2OYWMY4C79E2S1?country=AT&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&from=2021-06-21&mealType=2&region=492&returnFlightTimeUntil=1440&to=2021-09-13&travellers=25%2C25;15.03.21;Auf einer privaten Halbinsel direkt am idyllischen Zeller See gelegen erwarten Sie im Grand Hotel Zell Am See neben altösterreichischer Gastgebertradition und alpiner Gemütlichkeit, ein Hauch von kaiserlichem Luxus und Romantik, eine Prise Nostalgie und unkomplizierter 4-Sterne-Superior-Komfort.Freuen Sie sich auf ein großzügiges Spa- und Wellnessangebot im GRANDSPA, hoch oben im Wellnessflügel mit fantastischen Aussichten und dem familienfreundlichen Classic Spa mit Pool und direktem Seezugang. Wohnen und träumen Sie in den traditionell und liebevoll eingerichteten Zimmern und Suiten. Genießen Sie die besondere Lage des Hauses direkt am blau schimmernden Zeller See!;files/pexels-johannes-plenio-4124074.png;in;Direkt am idyllischen Zeller See gelegen erwarten Sie im Hotel altösterreichische Gastgebertradition, alpine Gemütlichkeit und ein Hauch von kaiserlichem Luxus. ;Freuen Sie sich auf ein großzügiges Spa- und Wellnessangebot mit fantastischen Aussichten. Wohnen und träumen Sie in den traditionell und liebevoll eingerichteten Zimmern und Suiten. ;das;weg.de;das;oesterreich
Schweden;12.07. - 14.07.;2;Frankfurt;SAS Scandinavian Airlines;Elite Hotel Marina Tower;Stockholm;4;Frühstück;Doppelzimmer;Doppelzimmer;;302,36;https://www.weg.de/hotel/elite-hotel-marina-tower-cid_15531/angebot_2WNVYCSP7MFVENX7PPFJX4YPL7MGESY44HM7PVUKGWL12DHA1BNXURJ7SUCRTYCBJE3TMHE83BOFGX2VCNOBW78SEEPRSLFTYHP837DWCA3JMBM2MHANBKEG4ZZUUSP14C8K1BJFNH4TJRZJ?city=2814&country=SE&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&from=2021-06-21&page=1_10&region=1306&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;10.03.21;, Trendsetter für Musik, Mode sowie Design und Heimat international bedeutender Innovationen;files/pexels-pixabay-39378.png;in;Das Hotel befindet sich in einer historischen Mühle am Wasser und ist direkt am Fluss Saltsjön gelegen. Es ist nur ca. 15 Gehminuten vom Stadtzentrum entfernt.;Stockholm ist als weltweit zweitwichtigster Tech- und Startup-Hub eine Stadt der Andersdenkenden, immer begierig auf Neues.;das;weg.de;das;schweden
